"vessel_rnpa","name","port","economic_unit","src","seg_id","point_in_seg","datetime","lat","lon","sea","eez","mpa","fishing_region","distance_from_port_m","distance_from_shore_m","depth_m","reported_speed","course","year","month","distance_to_last_m","hours","implied_speed_knots"
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55094,2018-03-12 11:39:00,18.76767,-95.7639,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,5.95176331649448,1,0.00321369509529939
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55095,2018-03-12 12:39:00,18.76767,-95.76393,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,3.16200824449922,1,0.00170734786420044
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55096,2018-03-12 13:39:00,18.76768,-95.7639,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,3.35223610868377,1,0.00181006269367374
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55097,2018-03-12 14:39:00,18.76768,-95.76395,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,5.27001342828863,1,0.00284557960490747
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55098,2018-03-12 15:39:00,18.76778,-95.76405,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,15.3300760591199,1,0.0082775788656155
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55099,2018-03-12 16:39:00,18.76783,-95.764,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,7.66503695515703,1,0.00413878885267658
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55100,2018-03-12 17:39:00,18.76797,-95.76385,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,22.1999581379977,1,0.0119870184330441
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55101,2018-03-12 18:39:00,18.76805,-95.76378,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,11.5647399010399,1,0.00624445998976239
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55102,2018-03-12 19:39:00,18.76805,-95.76377,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,1.05400037281395,1,0.000569114672145762
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55103,2018-03-12 20:39:00,18.76807,-95.76375,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,3.06601271905389,1,0.00165551442713493
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55104,2018-03-12 21:39:00,18.76805,-95.76375,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,2.22637999991017,1,0.00120214902802925
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55105,2018-03-12 22:39:00,18.76803,-95.76377,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,3.06601306287732,1,0.00165551461278473
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55106,2018-03-12 23:39:00,18.76808,-95.76378,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,5.66486679398369,1,0.0030587833660819
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55107,2018-03-13 00:39:00,18.76803,-95.76375,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,6.40141022337284,1,0.00345648500182119
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55108,2018-03-13 01:39:00,18.76805,-95.76375,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,2.22637999991017,1,0.00120214902802925
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55109,2018-03-13 02:39:00,18.76805,-95.76375,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,1.609,314,2018,3,0,1,0
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55110,2018-03-13 03:39:00,18.76805,-95.76375,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,0,1,0
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55111,2018-03-13 04:39:00,18.76805,-95.76375,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,0,1,0
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55112,2018-03-13 05:39:00,18.76803,-95.76373,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,4.827,255,2018,3,3.06601306287732,1,0.00165551461278473
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55113,2018-03-13 06:39:00,18.76803,-95.76373,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,0,1,0
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55114,2018-03-13 07:39:00,18.76803,-95.76377,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,4.21600199133463,1,0.00227645895860401
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55115,2018-03-13 08:39:00,18.76807,-95.76373,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,13,2018,3,6.13202543827086,1,0.00331102885435792
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55116,2018-03-13 09:39:00,18.76803,-95.76377,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,1.609,167,2018,3,6.13202612591773,1,0.00331102922565752
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55117,2018-03-13 10:39:00,18.76805,-95.76373,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,4.76774962411735,1,0.00257437884671563
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55118,2018-03-13 11:39:00,18.76802,-95.76373,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,3.33957000001497,1,0.00180322354212471
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55119,2018-03-13 12:39:00,18.76805,-95.76375,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,3.94922713053678,1,0.00213241205752526
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55120,2018-03-13 13:39:00,18.76803,-95.76377,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,3.06601306287732,1,0.00165551461278473
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55121,2018-03-13 14:39:00,18.768,-95.76377,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,3.33957000001497,1,0.00180322354212471
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55122,2018-03-13 15:39:00,18.76808,-95.76378,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,8.96767544353491,1,0.0048421573669195
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55123,2018-03-13 16:39:00,18.76807,-95.76375,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,3.35222921011534,1,0.00181005896874479
